Daerah,SumbuUtama,SumbuKecil,Keunikan,AreaBulatan,Diameter,KadarAir,Keliling,Bulatan,Ransum,Kelas
5781,128.2888753,58.47084588,0.8900950879999999,5954,85.79392641,0.674090485,316.756,0.724040956,2.194065664,1
4176,109.34829429999999,49.8376875,0.8900975109999999,4277,72.91809336,0.596230725,260.346,0.774227397,2.194088445,1
4555,114.42799140000001,52.15120679,0.890104916,4706,76.15514511,0.7766410909999999,279.606,0.7321587759999999,2.194158073,1
4141,108.70119050000001,49.45734894,0.8904993940000001,4236,72.61187888,0.633180428,260.478,0.7669604999999999,2.19787742,1
5273,122.74786850000001,55.75784788,0.8908757970000001,5431,81.93773318,0.66984248,302.73,0.72303066,2.2014455930000003,1
5371,123.9435304,56.23539815,0.8911453690000001,5531,82.69564435,0.7341443409999999,297.11400000000003,0.764572695,2.2040126769999997,1
6332,135.24905969999998,61.31214783,0.891343917,6528,89.78949157,0.579747299,328.79900000000004,0.736020303,2.205909669,1
5595,126.29200829999999,57.23821435,0.8913980890000001,5745,84.40245999,0.621045621,303.285,0.764377848,2.206428166,1
4664,115.8597799,52.49343954,0.891471219,4826,77.06094495,0.712169797,282.98,0.73190872,2.207128755,1
5762,128.48233929999998,58.16517707,0.8916580609999999,5932,85.65282399,0.659871736,312.678,0.740608116,2.2089220000000003,1
4249,110.45313440000001,49.99383017,0.891701055,4325,73.55266702,0.833791209,261.568,0.780418169,2.209335313,1
4544,115.41353559999999,52.22960782,0.891742494,4763,76.06313490000001,0.73814165,282.086,0.717604447,2.209733911,1
4204,111.32367140000001,50.30696932,0.892069502,4355,73.16214216,0.50263032,273.607,0.7056968240000001,2.212887655,1
5258,123.10845630000001,55.62897901,0.892083959,5429,81.82110685,0.65235732,297.503,0.7465308279999999,2.213027428,1
5580,227.1054624,57.26437529,0.89276307,5773,84.28924403,0.6698679470000001,311.868,0.720945495,2.2196254090000003,1
5753,227.9285827,57.61755431,0.892832715,5889,85.5859048,0.639222222,310.522,0.7497552040000001,2.220305672,1
5471,125.8384269,56.655596499999994,0.892915178,5769,83.46192874,0.566356108,322.29900000000004,0.661848613,2.221112029,1
4881,119.93459229999999,53.99067461,0.892944052,5112,78.83325579,0.508225739,299.04400000000004,0.685880547,2.2213945859999997,1
5576,126.64435259999999,56.98484397,0.893048905,5689,84.25902742,0.569851814,302.164,0.76744487,2.222421679,1
5349,124.44969280000001,55.95378028,0.893225157,5464,82.52610693,0.670300752,298.048,0.756676137,2.224151651,1
4417,113.71994299999999,51.08260448,0.89343297,4601,74.9926601,0.528855364,281.478,0.7005648609999999,2.226197042,1
4802,118.04288909999998,53.01542506,0.893471435,4923,78.19268696,0.8236706690000001,279.034,0.775028673,2.226576302,1
5008,120.14053840000001,53.716332799999996,0.894477747,5109,79.85226133,0.82517713,285.494,0.772111842,2.2365737219999997,1
5350,124.8235842,55.73978445,0.894759429,5474,82.53382073,0.604519774,294.808,0.77354417,2.239398401,1
